"first_name","last_name","address","city","country","phone","email"
Hollis,Stanfield,"5174 Interstate 45 N",Yellowhead County,CA,"780-574-5620",hollis.stanfield@aol.com
Andree,Christmann,"765 Rock Island Rd",Strathroy,CA,"519-872-6826",andree.christmann@cox.net
Lyla,Fucillo,"7979 33  191",North River,CA,"902-844-1174",lyla_fucillo@cox.net
Felton,Yafuso,"202 Madison Ave",Ottawa,CA,"613-749-1169",felton.yafuso@gmail.com
Dell,Polino,"56 Corporate Dr",Becancour,CA,"819-255-1725",dell_polino@polino.com
Nohemi,Leko,"37 Us Highway 12e E #6",Sault Ste. Marie,CA,"705-838-9265",nohemi@aol.com
Tambra,Lembke,"6734 W Jackson Blvd",Salmon Arm,CA,"250-353-7479",tlembke@lembke.org
Vicki,Maikoksoong,"7 Tomahawk Dr",Richmond,CA,"604-231-6180",vicki@gmail.com
Renato,Airhart,"1 Vernon Blvd",Calgary,CA,"403-444-2250",renato_airhart@hotmail.com
Lenita,Darbro,"2726 Franklin Hill Rd",Vernon,CA,"250-749-4517",lenita@yahoo.com
Barney,Hagen,"6335 Fort Myer Dr",Saint-Hyacinthe,CA,"450-526-5424",barney@yahoo.com
Matthew,Armacost,"220 Old Us Highway 441",Peterborough,CA,"705-417-7221",matthew_armacost@gmail.com
Belen,Nelton,"77 Central Pky N",Quesnel,CA,"250-768-5812",bnelton@gmail.com
Iesha,Wardle,"781 Alabama Ave",Etobicoke,CA,"416-989-2001",iesha@gmail.com
Francesco,Sarchet,"22 Dearborn St",Regina,CA,"306-524-4509",francesco@hotmail.com
Paulene,Rhule,"21 E 64th Ave",Matane,CA,"418-348-2107",paulene_rhule@rhule.org
Carole,Hughlett,"9 N Central Ave",Abbotsford,CA,"604-262-8556",carole_hughlett@hughlett.com
Miss,Dunning,"38 Douglas Rd E #39",Regina,CA,"306-508-8874",mdunning@gmail.com
Elfrieda,Hinsch,"4929 Sidney St #8276",Vernon,CA,"250-454-9384",elfrieda_hinsch@hinsch.org
Edelmira,Calzado,"4936 Walcott Rd",Regina,CA,"306-611-7185",edelmira@hotmail.com
Jaime,Wasurick,"6760 E Fayette St #9",Saint-Damien,CA,"450-531-8633",jaime_wasurick@hotmail.com
Lera,Hua,"6638 S Webster St #491",Miramichi,CA,"506-556-4300",lhua@aol.com
Jame,Mastro,"4465 James St",Kitchener,CA,"519-920-7003",jmastro@aol.com
Jillian,Hailstone,"8721 Everett Rd",Mississauga,CA,"905-864-2257",jhailstone@yahoo.com
Louis,Zarling,"6 E Kingsbridge Rd",Stoneham-Et-Tewkesbury,CA,"418-568-3216",louis@zarling.com
Emmett,Mcshaw,"920 Union Blvd",Sault Ste. Marie,CA,"705-581-1220",emmett_mcshaw@cox.net
Tammy,Sams,"5 Secaucus Rd",Nanaimo,CA,"250-226-1002",tammy_sams@sams.com
Willis,Wylie,"646 9th St",Saint-Raymond,CA,"418-833-1949",willis@yahoo.com
Maxima,Brzozowski,"864 Aupuni St",St Catharines,CA,"905-569-6732",mbrzozowski@aol.com
Boris,Latif,"9390 Fortin Dr",Quebec,CA,"418-459-4884",boris.latif@latif.com
Salina,Knavel,"4 Newark St",Arnprior,CA,"613-280-7170",salina.knavel@gmail.com
Justa,Dini,"8 J St",Vernon,CA,"250-982-9377",justa.dini@hotmail.com
Amalia,Wolfgang,"394 Dice Rd #861",Windsor,CA,"519-219-3608",amalia_wolfgang@wolfgang.org
Felix,Tutterrow,"92 W 39th St #9990",London,CA,"519-426-7161",ftutterrow@tutterrow.org
Eura,Mcglocklin,"9 N Monroe St",Lloydminster,CA,"306-979-2571",eura@mcglocklin.org
Lang,Heuring,"2 Global Rd",Cambridge,CA,"519-985-7311",lang@cox.net
Agustin,Lakatos,"23 E Wacker Dr #64",Becancour,CA,"819-365-5394",agustin.lakatos@hotmail.com
Jaime,Lowrance,"1 Nw 167th St",Winnipeg,CA,"204-438-6204",jaime.lowrance@lowrance.org
Carman,Gudiel,"1 Frontage Rd",St. Johns,CA,"709-366-8943",carman@gmail.com
Argelia,Hofbauer,"5 Columbia",North Vancouver,CA,"604-823-2881",argelia.hofbauer@cox.net
Mammie,Cisney,"14 E 30th St",Montreal,CA,"514-205-4258",mammie@cox.net
Rashad,Menino,"8 Commercial Ave",Carleton Place,CA,"613-697-2555",rashad.menino@menino.com
Janna,Bastain,"41 Drive  Hwy 54s S",Vancouver,CA,"604-575-7837",janna@bastain.com
Callie,Neikirk,"6601 Park Ave #9924",Mississauga,CA,"905-465-6909",callie.neikirk@neikirk.org
Coral,Helmcamp,"4184 E 142nd St",Toronto,CA,"416-589-6075",coral.helmcamp@helmcamp.org
Xenia,Mushero,"1 El Camino Ave #39",Kingston,CA,"613-714-1829",xenia@aol.com
Adelle,Nitcher,"10 Midway Dr",Thorold,CA,"905-998-3758",anitcher@aol.com
Hildegarde,Wehrwein,"2 Cottman Ave",West Vancouver,CA,"604-960-7463",hwehrwein@gmail.com
Phuong,Sugai,"8926 E 119th St #9",Lavaltrie,CA,"450-501-4406",psugai@gmail.com
Leontine,Lafoy,"191 Richland St #5",Quebec,CA,"418-271-8667",llafoy@aol.com
Darell,Mcalarney,"8 E 92nd St",Ajax,CA,"905-846-7737",darell_mcalarney@mcalarney.com
Madonna,Landman,"283 Andover St",Castlegar,CA,"250-307-7698",madonna.landman@landman.com
Chuck,Berggren,"764 Louisville Plac",St. Johns,CA,"709-534-6576",chuck@gmail.com
Gregg,Epperheimer,"59 W Jackson Blvd #11",Lasalle,CA,"514-302-4158",gepperheimer@aol.com
Yan,Bubrig,"712 N 5th St",Grand Manan,CA,"506-493-4894",yan@cox.net
Stephanie,Garlett,"6 L St #1761",Kanata,CA,"613-557-7338",stephanie.garlett@gmail.com
Alberto,Stenquist,"6126 E 14th St #6",St Catharines,CA,"905-435-9456",alberto_stenquist@stenquist.org
Wayne,Shivers,"865 Ponce De Leon Blvd",Chicoutimi,CA,"418-374-1965",wayne@aol.com
Kristal,Bothe,"896 Pershing Ave",Paradise,CA,"709-976-5766",kristal@hotmail.com
Florencia,Stadel,"178 Riverdale Rd",Ingersoll,CA,"519-961-7871",fstadel@gmail.com
Darrin,Tumolillo,"4 Pedretti Ave #2",Saskatoon,CA,"306-748-5721",darrin@tumolillo.com
Freeman,Rudig,"4 W Sedgley Ave",Otterburn Park,CA,"450-347-6388",freeman@yahoo.com
Lazaro,Mollison,"31 E Middlefield Rd #8555",Beloeil,CA,"450-356-6427",lazaro@gmail.com
Ellsworth,Rieg,"7662 Us Highway 46 #9003",Napanee,CA,"613-862-4724",erieg@hotmail.com
Brinda,Mrkvicka,"1 Park Ave",Newbridge,CA,"506-392-8334",brinda.mrkvicka@gmail.com
Florinda,Mackedanz,"2782 Midland Ave",Dieppe,CA,"506-230-8075",florinda_mackedanz@mackedanz.org
Nadine,Swartzbeck,"3 Federal Blvd",Beloeil,CA,"450-353-2331",nadine_swartzbeck@swartzbeck.org
Arlette,Torchio,"485 Rolling Rd",Lasalle,CA,"514-459-6883",arlette_torchio@hotmail.com
Adolph,Krivanec,"6605 Federal St",Etobicoke,CA,"416-736-1436",akrivanec@hotmail.com
Georgiana,Colbath,"505 E 9mile Rd",Sainte-Therese,CA,"450-409-1254",gcolbath@hotmail.com
Rana,Lehn,"32 Rocklyn Ave",Milton,CA,"905-286-8285",rlehn@yahoo.com
Chi,Morgan,"2953 5th Ave #27",Saint-Raymond,CA,"418-922-5578",chi@gmail.com
Starr,Prothro,"133 Us Highway 206",Chicoutimi,CA,"418-811-3750",sprothro@prothro.com
Glennis,Roseum,"1 Pershing Ave",Brandon,CA,"204-514-9319",glennis.roseum@gmail.com
Thea,Petermeier,"402 Santa Isabel Ave",Sept-Iles,CA,"418-360-6739",thea@hotmail.com
Rosalind,Persechino,"86 Shady Run Rd",Kanata,CA,"613-975-5760",rosalind.persechino@aol.com
Shenika,Tapian,"4 Collier Rd Nw",Ottawa,CA,"613-219-1869",shenika.tapian@aol.com
Veta,Vandeberg,"940 E Jefferson Ave",Juniper,CA,"506-996-1241",vvandeberg@gmail.com
Herschel,Geneseo,"7753 W 8th",Toronto,CA,"416-786-7887",herschel@geneseo.com
Dianne,Tomasic,"53 6  17 M At Bradleys",Dartmouth,CA,"902-938-6891",dianne@yahoo.com
Micah,Gerten,"103 Madison Ave",St. Johns,CA,"709-581-5842",micah@cox.net
Kaycee,Alaibilla,"8788 E 64th Ave",Vancouver,CA,"604-992-6045",kaycee.alaibilla@yahoo.com
Tesha,Brang,"831 Vanowen St #5",Montreal,CA,"514-432-5290",tesha@aol.com
Marya,Chhour,"661 Pitkin Ave",Calgary,CA,"403-382-4146",marya@cox.net
Ronnie,Kettelle,"3 Avenue Rt 295 #199",Halifax,CA,"902-367-7042",ronnie_kettelle@aol.com
Mabel,Fower,"709 W Waters Ave",Chicoutimi,CA,"418-339-7473",mabel_fower@fower.com
Harley,Works,"27 Spring St",Woodstock,CA,"519-913-7772",harley@cox.net
Joye,Nedman,"9 Court St",Regina,CA,"306-991-3698",joye@cox.net
Luisa,Harnish,"82 Westminster Blvd",Vancouver,CA,"604-399-1449",lharnish@harnish.com
Stacey,Lortz,"5039 Coffee Rd",Scarborough,CA,"416-310-1610",stacey_lortz@aol.com
Reyes,Mesmer,"9 E Thayer Ave #3",Hamilton,CA,"905-402-9203",reyes@mesmer.org
Avery,Demus,"1 Highland Ave",Maple Ridge,CA,"604-548-4412",avery.demus@aol.com
Colby,Scotts,"7 E 1st St",Barrie,CA,"705-668-5094",cscotts@aol.com
Afton,Wrinkle,"652 5th Ave",Ottawa,CA,"613-851-7883",awrinkle@wrinkle.org
India,Sifford,"162 Sunrise Plz",Toronto,CA,"416-866-6707",isifford@sifford.org
Brunilda,Coin,"300 Congers Rd #77",Saint-Paul,CA,"506-327-7460",brunilda_coin@aol.com
Jenifer,Emanuel,"78 152nd Ave #4179",Duncan,CA,"250-947-2063",jemanuel@emanuel.com
Makeda,Nosis,"956 Sierra Ave",Toronto,CA,"416-827-4082",makeda.nosis@yahoo.com
Vivan,Oppy,"4696 Alewa Dr",Swift Current,CA,"306-325-3090",voppy@gmail.com
Eric,Gazzola,"732 Congress St",Saint-Georges,CA,"418-274-7373",eric@cox.net
Thersa,Davirro,"863 E Mcdowell Rd",Kamloops,CA,"250-540-5275",thersa.davirro@aol.com
Mindy,Presnal,"82 Us Highway 111",Vancouver,CA,"604-213-8721",mpresnal@yahoo.com
Luis,Metzner,"8868 S Arroyo Pkwy #996",Trois-Rivieres,CA,"819-860-8913",lmetzner@metzner.org
Dawne,Mcloud,"25 Keystone Xing",Stoney Creek,CA,"905-760-9649",dmcloud@cox.net
Karrie,Kinikini,"491 Main St #893",Kamloops,CA,"250-384-7658",karrie_kinikini@kinikini.org
Mozelle,Hermon,"523 Spencerville Ct",Mount Pisgah,CA,"506-573-3112",mozelle_hermon@cox.net
Mila,Hair,"515 S Main St",Saint-Leonard,CA,"514-945-2978",mhair@cox.net
Gilma,Jefferys,"147 E Centre St",Halifax,CA,"902-804-8543",gjefferys@aol.com
Armanda,Mcduffie,"989 Wyatt Dr #7",Cowansville,CA,"450-866-7181",armanda.mcduffie@hotmail.com
Vonda,Normandeau,"9891 Main St",Mirabel,CA,"450-706-3809",vonda@yahoo.com
Truman,Mondale,"1657 N Green St",Peterborough,CA,"705-757-7389",truman.mondale@aol.com
Elvis,Tenuta,"6437 Date Palm Dr",Calgary,CA,"403-415-1285",elvis_tenuta@tenuta.org
Loise,Dedaj,"1062 Rd",Saskatoon,CA,"306-964-9291",loise@aol.com
Jannette,Pedder,"73 Madison Ave",Vancouver,CA,"604-953-5335",jpedder@pedder.com
Margo,Rand,"344 Lyndon St",Concord,CA,"905-781-3868",margo@rand.org
Dahlia,Benett,"3986 Home Life",Alma,CA,"418-344-9993",dahlia_benett@aol.com
Dominga,Mckeon,"68 Dd N #1",Trois-Rivieres,CA,"819-627-1581",dominga_mckeon@yahoo.com
Hollis,Keomuangtai,"27 7th St",Keswick,CA,"905-928-5294",hollis.keomuangtai@cox.net
Carry,Ziller,"8 Maynesboro St",Strathroy,CA,"519-847-8783",carry@cox.net
Bong,Fears,"7 State St #1",Pierrefonds,CA,"514-308-1992",bfears@fears.org
Yolande,Staiano,"21 N 14th St",Orleans,CA,"613-700-7712",yolande_staiano@gmail.com
Lottie,Hegdahl,"45 W 21st St",Unionville,CA,"905-638-1034",lottie_hegdahl@aol.com
Jose,Kylish,"93 Law Dr",Pierrefonds,CA,"514-211-3774",jose.kylish@aol.com
Tuyet,Abramovitz,"976 Cozycroft Ave",Richmond Hill,CA,"905-790-7938",tuyet.abramovitz@abramovitz.com
Pearline,Provenzano,"611 S 2nd St",Concord,CA,"905-734-9102",pearline.provenzano@provenzano.org
Robt,Hankison,"3780 Ronson Rd",Quebec,CA,"418-874-8104",robt_hankison@cox.net
Shawnee,Kesten,"5 W Irving Park Rd",Big Ridge,CA,"902-208-1038",shawnee@yahoo.com
Lacresha,Quinones,"48 Bernardo Cent",Vaudreuil-Dorion,CA,"450-213-1080",lacresha@hotmail.com
Basilia,Vinroe,"45 S Wells Ave",Quebec,CA,"418-386-6120",basilia.vinroe@gmail.com
Aleisha,Areizaga,"960 Deming Way",Quebec,CA,"418-408-1640",aareizaga@hotmail.com
Frank,Tryninewski,"462 2nd St",Prince Albert,CA,"306-653-1772",ftryninewski@gmail.com
Ria,Steinhorst,"269 Commercial Dr",Jonquiere,CA,"418-319-1374",ria.steinhorst@steinhorst.com
Carla,Kallenberger,"8 Commercial Blvd #9",Hanover,CA,"519-646-7797",carla@aol.com
Lashanda,Skahan,"739 Stockton Ave",Gray Rapids,CA,"506-497-2698",lashanda.skahan@aol.com
Jarod,Catalina,"60 Sunrise Ave",North Bay,CA,"705-369-2146",jcatalina@aol.com
Leoma,Rabago,"575 Washington St",Nanaimo,CA,"250-810-7815",leoma.rabago@hotmail.com
Yasuko,Greeves,"4634 Anania Dr",Vernon,CA,"250-891-6910",ygreeves@cox.net
Jimmie,Snelling,"24 Sw Bridgeport Rd",Oakville,CA,"905-772-1416",jimmie.snelling@gmail.com
Titus,Dugre,"419 N Dixboro Rd #8",Gatineau,CA,"819-983-1846",titus.dugre@dugre.org
Joanne,Teoh,"1 W Sierra Madre Blvd #9985",St Catharines,CA,"905-219-6895",joanne@yahoo.com
Suzi,Groom,"9 W Jackson Blvd",Surrey,CA,"604-700-2946",suzi.groom@groom.org
Denny,Amazan,"4974 Rockburn Hill Rd #3",Surrey,CA,"604-239-4105",denny@amazan.com
Willie,Coughlan,"8545 S Westshore Blvd",Cantley,CA,"819-869-6389",willie@aol.com
Margurite,Brake,"258 S Ash Ave",Amherstburg,CA,"519-476-5983",margurite.brake@yahoo.com
Arlen,Romack,"1 W Green Bay St",Saint John,CA,"506-218-3036",arlen.romack@yahoo.com
Shaniqua,Corna,"8 Sylvan Ave",North York,CA,"416-573-9093",shaniqua@yahoo.com
William,Boccard,"9 Clove Rd",Pointe-aux-Trembles,CA,"514-606-4631",william@gmail.com
Silva,Riviere,"10 Canal St",Pierrefonds,CA,"514-319-4125",silva.riviere@riviere.org
Gearldine,Haberle,"62 N 3rd St",Calgary,CA,"403-810-3712",gearldine_haberle@hotmail.com
Azalee,Aja,"2607 Market St",Chateauguay,CA,"450-515-9694",azalee.aja@cox.net
Kimbery,Plikerd,"62 15th Ave #63",Duncan,CA,"250-504-9388",kimbery.plikerd@cox.net
Ricarda,Kratt,"1 Clairemont Mesa Blvd",New Glasgow,CA,"902-614-2197",rkratt@yahoo.com
Macy,Massay,"6 N Water St",Dauphin,CA,"204-656-8450",macy@hotmail.com
Carol,Normington,"1 S Kresson St",Alma,CA,"418-540-2207",carol@gmail.com
Blythe,Czaplinski,"4 S 4th St",Calgary,CA,"403-775-4053",blythe_czaplinski@czaplinski.com
Tanesha,Tesseneer,"326 Witherspoon St",Etobicoke,CA,"416-568-3388",tanesha_tesseneer@hotmail.com
Yaeko,Orndoff,"66 Hoffman St",St Thomas,CA,"519-625-4433",yaeko_orndoff@orndoff.org
Broderick,Lorenz,"185 Davis St",Saskatoon,CA,"306-285-1574",broderick_lorenz@hotmail.com
Twila,Shadle,"20 Simpson Ferry Rd",Victoria,CA,"250-862-6746",tshadle@shadle.com
Sarina,Pead,"7821 16th St Nw",Ajax,CA,"905-696-6221",spead@cox.net
Candra,Peets,"9 Pulaski Park Dr #7",North Bay,CA,"705-799-1235",candra@hotmail.com
Von,Aprigliano,"63 Baronne St",Port Moody,CA,"604-986-3233",von@aol.com
Natalya,Verso,"74 Chestnut St",Kitchener,CA,"519-736-9305",natalya_verso@yahoo.com
Stanton,Rigazio,"4 Smith St #5",North York,CA,"416-801-7398",srigazio@rigazio.org
Dona,Larner,"4298 E Drinker St",York,CA,"416-884-9104",dona@hotmail.com
Cortney,Choice,"80 S 33rd Pl",Greenfield Park,CA,"450-339-6016",cortney.choice@choice.com
Ira,Betterton,"935 S Padre Island Dr",Halifax,CA,"902-240-7029",ira.betterton@yahoo.com
Vanna,Pickle,"3 B Main #117",Newmarket,CA,"905-309-4565",vanna_pickle@aol.com
Bo,Sabota,"779 Moore St",Winnipeg,CA,"204-210-4967",bo_sabota@sabota.com
Nathalie,Corners,"14 Van Buren St",Peterborough,CA,"705-736-4801",nathalie_corners@corners.org
Rodney,Lockamy,"7 N Us Highway 67 #96",Ottawa,CA,"613-273-5773",rodney_lockamy@aol.com
Elena,Hairr,"31 Mechanic St #9839",Stephenville,CA,"709-399-4807",ehairr@hotmail.com
Blossom,Kraatz,"881 Route 38",North York,CA,"416-631-1863",blossom_kraatz@kraatz.org
Loreen,Griepentrog,"6 Monard Dr",Orleans,CA,"613-684-4467",loreen_griepentrog@aol.com
Tayna,Keirnan,"18 Cowesett Ave",Barrie,CA,"705-655-5936",tayna_keirnan@gmail.com
Nieves,Planty,"684 Albion Rd",Peterborough,CA,"705-616-5386",nplanty@gmail.com
Glenn,Robinault,"8700 S Jefferson Rd #676",Lachine,CA,"514-330-5479",glenn.robinault@cox.net
Julianna,Racer,"4407 Chestnut Ridge Dr",Saint John,CA,"506-752-6097",jracer@cox.net
Ashton,Nitchals,"13 Midway Pl",Oakville,CA,"905-725-6769",ashton@cox.net
Shaun,Scovil,"253 Hamilton Ave #1684",Pickering,CA,"905-907-6615",shaun_scovil@aol.com
Long,Shintaku,"8 W 41st Ave",Blainville,CA,"450-771-5010",long.shintaku@shintaku.org
Vinnie,Meir,"559 Bridge Plz",Etobicoke,CA,"416-862-7028",vmeir@meir.com
Lucia,Flipp,"196 Touhy Ave",Scarborough,CA,"416-870-8070",lucia@aol.com
Corazon,Ivaska,"6 W Lincoln Ave",Saskatoon,CA,"306-333-8933",corazon@ivaska.org
Jaime,Perugini,"7071 E 7th St #56",Verdun,CA,"514-950-4495",jaime_perugini@perugini.com
Miriam,Stakes,"784 Packerland Dr",Burlington,CA,"905-441-5009",miriam.stakes@yahoo.com
Vallie,Nigl,"7823 N 36th Ave",North Vancouver,CA,"604-848-3170",vallie@yahoo.com
Sheldon,Isachsen,"35 Milnor St",Valley,CA,"902-330-7314",sheldon@isachsen.org
Nickie,Balonek,"7 Saint Nicholas Ave",North Vancouver,CA,"604-556-1080",nickie.balonek@balonek.com
Fletcher,Caneles,"87 Spencerville Ct #2",Hamilton,CA,"905-992-1637",fcaneles@caneles.com
Rutha,Eisert,"87 W 32nd St",Niagara Falls,CA,"905-468-2503",rutha@eisert.com
Brandon,Geigel,"70 W Main St",Vancouver,CA,"604-940-9313",bgeigel@gmail.com
Franchesca,Lamme,"3208 W Touhy Ave",Charlottetown,CA,"902-715-9684",franchesca_lamme@yahoo.com
Lorriane,Naddeo,"7 Airway Cir",Duncan,CA,"250-544-1482",lorriane.naddeo@naddeo.org
Asuncion,Berson,"54 Whitaker Way",Reinfeld,CA,"204-318-1929",aberson@aol.com
Georgiann,Hoerter,"4945 Progress Dr",Grand-Mere,CA,"819-632-2869",georgiann_hoerter@hoerter.com
Hershel,Bultron,"658 W 30th St",London,CA,"519-844-4835",hershel_bultron@bultron.org
Chu,Collopy,"8 E 9mile Rd #697",Trois-Rivieres,CA,"819-677-1206",chu@aol.com
Bettina,Vosmus,"7 Ryan Industrial Ct",Vancouver,CA,"604-752-9256",bettina@hotmail.com
Lynsey,Sport,"7 Mccrea St",Chilliwack,CA,"604-525-6939",lynsey.sport@aol.com
Phil,Kuechler,"7 Mcwhorter Rd",Jonquiere,CA,"418-940-4070",phil_kuechler@gmail.com
Cordelia,Nicks,"572 Simpson St",Georgetown,CA,"905-975-4308",cnicks@nicks.org
Georgeanna,Marrano,"3493 Camino Ruiz",Hamilton,CA,"905-366-7378",gmarrano@gmail.com
Rosendo,Lanter,"2052 E Semoran Blvd",Regina,CA,"306-700-6743",rosendo@hotmail.com
Jerilyn,Norcia,"9 Main St",Hanover,CA,"519-978-7661",jerilyn@hotmail.com
Elfriede,Bakeley,"538 Fayetteville Street Mall",Grand-Sault/Grand Falls,CA,"506-404-8558",ebakeley@bakeley.com
Harris,Sheck,"9875 Sheafe Rd",Montreal,CA,"514-257-9319",harris@cox.net
Leonor,Beilinson,"269 Distribution Way",Orleans,CA,"613-338-5158",leonor.beilinson@hotmail.com
Terrilyn,Waska,"6 E Miraloma Ave",Gatineau,CA,"819-670-6020",terrilyn_waska@hotmail.com
Maddie,Foulds,"56 N Wood Ave #25",Montreal,CA,"514-874-9519",maddie@hotmail.com
Melynda,Anstead,"3 Lee Dr #8435",Longueuil,CA,"450-470-3593",melynda@hotmail.com
Odette,Thigpen,"1831 Everett Rd",Corner Brook,CA,"709-744-4165",othigpen@thigpen.com
Steffanie,Meinen,"801 W Belmont Ave",Montreal,CA,"514-964-9106",steffanie.meinen@cox.net
Antonette,Stimac,"61 N Westshore Blvd",Kitchener,CA,"519-670-5269",antonette_stimac@stimac.org
Thora,Daneker,"6 Old York Rd",Gatineau,CA,"819-648-4049",tdaneker@daneker.com
Nada,Massanet,"80 Sw End Blvd",Surrey,CA,"604-570-1494",nmassanet@yahoo.com
Ivette,Dills,"7585 Calle De Industrias",Reserve Mines,CA,"902-244-5318",idills@cox.net
Devon,Delacerda,"250 University Ave #9",Comox,CA,"250-525-4631",devon@hotmail.com
Lon,Tibbles,"78 Eastway Dr",Mississauga,CA,"905-233-1845",lon.tibbles@cox.net
Tennie,Santanna,"196 Waterman Ave #1",Trois-Rivieres,CA,"819-261-5496",tennie@aol.com
Fidelia,Vilven,"9 Meridian St",Scarborough,CA,"416-892-4321",fvilven@vilven.org
Michal,Gunyan,"9514 Mount Vernon Ave",Quebec,CA,"418-399-6819",michal_gunyan@gunyan.com
Enola,Yandow,"7 Sw 5th Ave",Dartmouth,CA,"902-539-1621",eyandow@cox.net
Meghann,Mamudoski,"7675 N Solano Dr",Hebbville,CA,"902-348-8759",meghann@cox.net
Latanya,Mattia,"8229 S Washington Ave",Portage la Prairie,CA,"204-649-9481",lmattia@yahoo.com
Chandra,Firlik,"686 S Dupont Hwy",Oshawa,CA,"905-451-3719",chandra@gmail.com
Barney,Dewer,"88 Norris Ave #2",Bedford,CA,"902-287-1148",bdewer@gmail.com
Ocie,Chreene,"72 W Hampden Ave",Orleans,CA,"613-756-9548",ocie.chreene@aol.com
Precious,Dubray,"846 Middletown Blvd #427",Orillia,CA,"705-607-6992",precious.dubray@dubray.com
Sanda,Laramie,"5181 N Alma School Rd",Dawson Creek,CA,"250-700-8923",slaramie@laramie.org
Gaynell,Benavente,"71 W Indian School Rd",Thunder Bay,CA,"807-284-2501",gaynell@hotmail.com
Bethanie,Cutsforth,"5 Victory Ave",Cambridge,CA,"519-328-4250",bethanie_cutsforth@cutsforth.org
Yvette,Capiga,"33 Broadway St #8539",Big Valley,CA,"403-919-6456",yvette.capiga@yahoo.com
Alana,Blackmon,"96 Hook Rd",Scarborough,CA,"416-386-8947",ablackmon@gmail.com
Lakeesha,Beachel,"1 Sw 72nd Ave",Chilliwack,CA,"604-352-7502",lakeesha_beachel@aol.com
Ailene,Friedman,"479 Commerce Park",Enterprise,CA,"506-907-7068",ailene@yahoo.com
Valene,Madson,"42 Main St",Alma,CA,"418-646-3844",valene@madson.org
Floyd,Bub,"4701 N Cocoa Blvd",Toronto,CA,"416-557-9767",fbub@bub.com
Josue,Hatherly,"755 135th St",Etobicoke,CA,"416-337-2239",jhatherly@hatherly.org
Johnathon,Wadden,"4714 S Main St",Peterborough,CA,"705-646-2781",johnathon_wadden@hotmail.com
Kenneth,Drizin,"2 Scott Blvd",Amos,CA,"819-999-6396",kdrizin@aol.com
Leila,Titzer,"9 Constitution Ave",Calgary,CA,"403-733-8035",leila_titzer@aol.com
Marquetta,Quinlisk,"2965 Lake Lizzie Dr",Mont-Royal,CA,"514-950-3156",marquetta_quinlisk@aol.com
Annamae,Beliles,"8939 Merrill Field Dr",Burnaby,CA,"604-877-2244",abeliles@gmail.com
An,Dosal,"8 Leoole St #3",Drummondville,CA,"819-324-8832",adosal@hotmail.com
